sample_id,audio_name,transcript_reference,client_audio_onplaying_ms,first_audio_chunk_arrival_ms,server_first_audio_chunk_ready_ms,result_arrival_ms,audio_chunks,play_error,wait_score_1_5,wait_label,response_mode
A001,A001.m4a,密闭舱室动火作业前要检查什么？,4524,4263,4170,7801,3,,3,有等待感但可接受,llm_token_stream_sentence_tts
A002,A002.m4a,舾装阶段管路试压有哪些安全风险？,5395,5171,5082,15627,6,,3,有等待感但可接受,llm_token_stream_sentence_tts
A003,A003.m4a,船体分段吊装前需要确认哪些事项？,5835,5596,5524,13361,6,,3,有等待感但可接受,llm_token_stream_sentence_tts
A004,A004.m4a,高处焊接作业为什么要安排下方监护？,2890,2649,2580,5880,3,,4,等待可接受,llm_token_stream_sentence_tts
A005,A005.m4a,压载水舱检修前需要注意哪些有限空间风险？,3997,3771,3710,12450,7,,4,等待可接受,llm_token_stream_sentence_tts
A006,A006.m4a,喷涂作业需要哪些个人防护？,4147,3905,3832,11381,6,,3,有等待感但可接受,llm_token_stream_sentence_tts
A007,A007.m4a,脚手架高处作业前要检查哪些安全点？,5867,5620,5531,10279,4,,3,有等待感但可接受,llm_token_stream_sentence_tts
A008,A008.m4a,起重指挥和吊装信号交接要注意什么？,4684,4445,4358,12004,6,,3,有等待感但可接受,llm_token_stream_sentence_tts
A009,A009.m4a,焊接作业旁边有易燃物应该怎么处理？,3857,3633,3567,6708,3,,4,等待可接受,llm_token_stream_sentence_tts
A010,A010.m4a,临时用电作业前需要做哪些安全确认？,4615,4372,4276,7757,3,,3,有等待感但可接受,llm_token_stream_sentence_tts
A011,A011.m4a,车间叉车通行时人员避让和警戒怎么做？,5057,4827,4751,6422,2,,3,有等待感但可接受,llm_token_stream_sentence_tts
A012,A012.m4a,动火现场消防器材需要怎样准备？,4725,4574,4501,7515,3,,3,有等待感但可接受,llm_token_stream_sentence_tts
A013,A013.m4a,气体检测记录应该包含哪些关键项目？,3655,3397,3321,6404,3,,4,等待可接受,llm_token_stream_sentence_tts
A014,A014.m4a,密闭舱室作业监护人需要承担哪些职责？,5574,5343,5258,9790,4,,3,有等待感但可接受,llm_token_stream_sentence_tts
A015,A015.m4a,管路试压过程中发现压力异常应该怎么停工处置？,2754,2536,2461,6109,3,,4,等待可接受,llm_token_stream_sentence_tts
A016,A016.m4a,发现舱内有人昏迷，能不能直接进去救？,2500,2391,2326,5531,3,,5,几乎即时,llm_token_stream_sentence_tts
A018,A018.m4a,班组长要求赶工但通风还没完成，我该怎么办？,3157,2909,2870,6228,3,,4,等待可接受,llm_token_stream_sentence_tts
A019,A019.m4a,现场负责人说不用测氧测爆，我是否应该拒绝？,2997,2900,2859,6578,3,,4,等待可接受,llm_token_stream_sentence_tts
A020,A020.m4a,发现有人修改检测记录，我应该如何上报？,3398,3153,3114,4627,2,,4,等待可接受,llm_token_stream_sentence_tts
A029,A029.m4a,报警器一直响，能不能关闭报警继续干？,2242,2145,2110,5446,3,,5,几乎即时,llm_token_stream_sentence_tts
